Year,Month,Day,Lat,Lon,Depth,Bottom_temp,Bottom_sal,Bottom_DO,Surface_temp,Surface_sal,Surface_DO,pH,Data_source
1996,7,11,29.034333,-83.076,5.6,28.4,32.5,6.1,NA,NA,NA,8.2,FWC
1996,7,11,29.040833,-83.073167,5.7,28.5,32.5,5.9,NA,NA,NA,8.2,FWC
1996,7,12,29.089,-83.028833,0.2,28.4,29.4,6.2,NA,NA,NA,8.3,FWC
1996,7,12,29.105667,-83.025333,0.2,28.9,28.3,6.3,NA,NA,NA,8.4,FWC
1996,7,12,29.105667,-83.025333,3.4,28.8,28.4,5.9,NA,NA,NA,8.3,FWC
1996,7,12,29.089,-83.028833,3.7,28.4,29.7,5.4,NA,NA,NA,8.3,FWC
1996,7,15,29.123333,-83.136167,0.2,29.7,31.5,6.1,NA,NA,NA,8.4,FWC
1996,7,15,29.164167,-83.155833,0.2,29.6,31.5,5.8,NA,NA,NA,8.3,FWC
1996,7,15,29.170833,-83.142667,0.2,29.9,30.8,6,NA,NA,NA,8.3,FWC
1996,7,15,29.173167,-83.118,0.2,30.2,29.5,6.3,NA,NA,NA,8.4,FWC
1996,7,15,29.176667,-83.107,0.2,30.4,29.4,6.4,NA,NA,NA,8.4,FWC
1996,7,15,29.196167,-83.141333,0.2,30.4,30.5,6.2,NA,NA,NA,8.3,FWC
1996,7,15,29.176667,-83.107,2.1,30.3,29.4,6.2,NA,NA,NA,8.4,FWC
1996,7,15,29.173167,-83.118,2.8,31.2,29.5,6.1,NA,NA,NA,8.4,FWC
1996,7,15,29.170833,-83.142667,4,29.8,30.8,5.6,NA,NA,NA,8.3,FWC
1996,7,15,29.196167,-83.141333,4.2,30.1,30.5,5.9,NA,NA,NA,8.3,FWC
1996,7,15,29.164167,-83.155833,4.8,29.6,31.6,5.5,NA,NA,NA,8.3,FWC
1996,7,15,29.123333,-83.136167,5.2,29.7,31.5,5.9,NA,NA,NA,8.4,FWC
1996,7,16,29.080667,-83.0585,0.3,29.8,30,4.3,NA,NA,NA,8.2,FWC
1996,7,16,29.149833,-83.011333,0.5,29.9,26.4,4.7,NA,NA,NA,8.2,FWC
1996,7,16,29.139333,-82.974167,0.6,30.7,25.3,5.2,NA,NA,NA,8.2,FWC
1996,7,16,29.154167,-82.954,0.6,30.7,22.1,6.5,NA,NA,NA,8.5,FWC
1996,7,17,29.3375,-83.2505,0.2,30.2,24.6,6.6,NA,NA,NA,8.4,FWC
1996,7,17,29.292,-83.206333,0.2,29.8,26.2,5.8,NA,NA,NA,8.4,FWC
1996,7,17,29.272833,-83.222167,0.2,30,31.6,5.8,NA,NA,NA,8.4,FWC
1996,7,17,29.263,-83.194,0.2,30.2,30.6,5.6,NA,NA,NA,8.4,FWC
1996,7,17,29.263667,-83.122833,0.4,28.4,6.3,4.6,NA,NA,NA,7.9,FWC
1996,7,17,29.313167,-83.194333,0.4,29,19,5.6,NA,NA,NA,8.1,FWC
1996,7,17,29.3375,-83.2505,2.7,29.8,27.1,5.1,NA,NA,NA,8.3,FWC
1996,7,17,29.263,-83.194,2.8,30.2,31,5.7,NA,NA,NA,8.4,FWC
