Reference,Depth,Beg_end,Temperature,Conductivity,pH,Salinity,DissolvedO2,Flag
CKM2009120310,1,B,16.8,0.4,8.2,0.2,9.6,
CKM2009120401,0.2,B,14,43.5,7.8,27.8,9.3,
CKM2009120401,1,B,14,43.6,7.8,27.9,9.1,
CKM2009120401,1.8,B,14,43.2,7.8,27,8.9,
CKM2009120402,0.2,B,14.4,46.2,8,27.8,9.2,
CKM2009120403,0.2,B,14.3,46.4,8,28.7,9.2,
CKM2009120403,1,B,14.3,47.9,8,30.1,9,
CKM2009120403,2.1,B,14.2,48,8,30.9,8.8,
CKM2009120404,0.2,B,14.5,47.6,8,29.8,9.4,
CKM2009120404,1,B,14.5,47.7,8,30.2,8.9,
CKM2009120404,2,B,14.5,47.8,7.9,30.2,8.8,
CKM2009120404,3,B,14.5,47,7.9,30,8.8,
CKM2009120404,3.8,B,14.5,46.3,7.9,29.6,8.7,
CKM2009120405,0.2,B,15.3,48.2,8,30.3,9,
CKM2009120405,1,B,15.2,47,8,29.7,8.9,
CKM2009120405,2,B,15.3,47.4,8,31.7,8.6,
CKM2009120405,3,B,15.4,47.3,8,31.4,8.5,
CKM2009120405,4,B,15.8,49.7,8,32.3,8.2,
CKM2009120405,5,B,15.9,48,8,31.8,8.1,
CKM2009120406,0.2,B,15.2,48.1,8,31.4,8.8,
CKM2009120406,1,B,15.2,48.5,8,31.8,8.7,
CKM2009120406,2,B,15.2,50.1,8,32.8,8.4,
CKM2009120406,3,B,15.4,51.8,8,34.1,8.3,
CKM2009120406,4,B,15.5,51.8,8,34.1,8.2,
CKM2009120501,0.2,B,16.9,4.6,8,2.5,10.3,
CKM2009120502,0.2,B,16.7,5.4,7.9,2.9,10.8,
CKM2009120502,0.4,B,16.7,5.3,7.9,2.9,10.2,
CKM2009120503,0.2,B,16.1,29.2,8,18.1,8.6,
CKM2009120503,0.5,B,15.8,31.6,8,19.8,8.5,
CKM2009120504,0.2,B,17.1,20.1,8.1,12,10.8,
CKM2009120505,0.2,B,16.8,8.5,8,4.7,12.5,
CKM2009120505,0.4,B,16.8,8.4,8,4.7,12.2,
CKM2009120506,0.2,B,16.9,4.4,8,2.3,10.3,
CKM2009120506,1,B,16.8,5.3,7.9,2.9,10.2,
CKM2009120506,2,B,16.6,10.3,7.9,5.3,11.7,
CKM2009120506,2.8,B,16.2,15.4,7.9,9,10.1,
CKM2009120507,0.2,B,17.2,2.2,8.1,1.2,9.6,
CKM2009120507,1,B,17.1,2.8,8.1,1.5,9.7,
CKM2009120507,2,B,17.1,3.7,8,2,9.8,
CKM2009120508,0.2,B,17.2,0.4,7.8,0.2,9.7,
CKM2009120508,1,B,17.2,0.4,7.8,0.2,9.6,
CKM2009120508,2,B,17.2,0.4,7.8,0.2,9.6,
CKM2009120508,3,B,17.2,0.4,7.9,0.2,9.5,
CKM2009120508,4,B,17.2,0.4,7.9,0.2,9.5,
CKM2009120508,5,B,17.2,0.4,7.9,0.2,9.5,
CKM2009120508,6,B,17.2,0.4,7.9,0.2,9.5,
CKM2009120508,6.4,B,17.2,0.4,7.9,0.2,9.5,
CKM2009120601,0.2,B,17,35.7,8.2,22.6,10.2,
CKM2009120601,0.5,B,17,36,8.2,22.8,10.3,
CKM2009120602,0.2,B,18.2,33.2,8.1,20.8,9.3,
CKM2009120602,1,B,18.2,33.1,8.1,20.8,9.2,
CKM2009120603,0.2,B,17.1,32,8.3,20,10.4,
CKM2009120603,0.8,B,17.1,32,8.3,20,10.3,
CKM2009120604,0.2,B,17.5,29.4,8.3,18.2,10.5,
CKM2009120604,0.4,B,17.5,29.7,8.3,18.5,10.5,
CKM2009120605,0.2,B,18.3,16.2,8,9.5,9.7,
CKM2009120605,1,B,18.3,16.2,8,9.6,9.8,
CKM2009120605,1.2,B,18.3,16.2,8,9.6,9.8,
CKM2009120606,0.2,B,18.1,8.4,7.9,4.7,11.3,
CKM2009120606,0.9,B,18.1,8.4,7.8,4.7,11.2,
CKM2009120607,0.2,B,18.5,10.1,8.1,5.7,12.1,
CKM2009120607,0.7,B,17.5,24,8.1,14.6,10.3,
CKM2009120608,0.2,B,17.9,18.5,8.2,10.9,11.3,
CKM2009120608,0.8,B,16.9,32.1,8.2,20.1,10.6,
CKM2009120701,0.2,B,17.4,34,8.2,21.4,8.9,
CKM2009120701,0.6,B,17.4,34,8.2,21.4,8.9,
CKM2009120702,0.2,B,18.7,34.9,8.2,22,9.4,
CKM2009120702,0.7,B,18.8,34.9,8.2,22,9.1,
CKM2009120703,0.2,B,18.7,34.9,8.1,22,8.6,
CKM2009120703,1,B,18.7,34.9,8.1,22,8.5,
CKM2009120703,1.6,B,18.7,34.9,8.1,22,8.4,
CKM2009120704,0.2,B,19.3,34.7,8,21.9,8.2,
CKM2009120704,0.4,B,19.2,34.7,8,21.9,8.2,
CKM2009120705,0.2,B,19.6,34.6,8,21.8,8.4,
CKM2009120705,0.6,B,19.5,34.6,7.9,21.8,8.4,
CKM2009120706,0.2,B,20.2,34.5,7.8,21.7,7.7,
CKM2009120706,0.7,B,20.2,34.4,7.8,21.7,7.4,
CKM2009120707,0.2,B,20.2,25.4,8,15.4,9.4,
CKM2009120707,0.6,B,20.2,26.7,7.9,16,9,
CKM2009120708,0.2,B,19.2,25.8,7.9,15.8,10,
CKM2009120708,1,B,19.2,25.8,7.9,15.8,9.6,
CKM2009120708,1.6,B,19.3,26,8,16,9.2,
CKM2009120709,0.1,B,19.5,,,10,,
CKM2009120801,0.2,B,17.6,40.2,7.8,26.1,11.6,
CKM2009120801,0.3,B,17.6,40.6,7.8,26.3,10.1,
CKM2009120802,0.2,B,17.5,41,7.9,25.6,8.7,
CKM2009120802,0.5,B,17.5,41.4,7.9,26.2,8.6,
CKM2009120803,0.2,B,18,41.4,7.9,25.7,9.1,
CKM2009120803,0.3,B,18,41.9,7.9,26.4,9.1,
CKM2009120804,0.2,B,18.1,41,7.8,26.9,9.1,
CKM2009120804,0.6,B,18.1,41.2,7.8,27.1,9,
CKM2009120805,0.2,B,18,41.4,7.8,25.6,9,
CKM2009120806,0.2,B,18.8,42.5,7.8,27,8.7,
CKM2009120806,0.8,B,18.8,42.5,7.8,27,8.7,
CKM2009120807,0.2,B,18.5,43,7.9,27.6,9.4,
CKM2009120807,1,B,18.5,43.4,7.9,27.8,9.3,
CKM2009120807,1.2,B,18.5,43.7,7.9,28,9.3,
CKM2010010101,0.2,B,9.6,0.1,7.7,0.1,9.8,
CKM2010010101,1,B,9.6,0.1,7.5,0.1,9.4,
CKM2010010101,1.9,B,9.6,0.1,7.4,0.1,9.4,
CKM2010010102,0.2,B,9.5,0.1,8,0.1,11.5,
CKM2010010102,1,B,9.6,0.1,7.8,0.1,10.2,
CKM2010010102,2,B,9.5,0.1,7.6,0.1,9.6,
CKM2010010102,2.6,B,9.6,0.1,7.5,0.1,9.5,
CKM2010010103,0.2,B,9.6,0.1,7.5,0.1,9.8,
CKM2010010103,1,B,9.6,0.1,7.5,0.1,9.6,
CKM2010010103,2,B,9.6,0.1,7.4,0.1,9.5,
CKM2010010103,3,B,9.6,0.1,7.4,0.1,9.5,
CKM2010010103,4,B,9.6,0.1,7.3,0.1,9.5,
CKM2010010103,4.9,B,9.6,0.1,7.3,0.1,9.4,
CKM2010010104,0.2,B,9.3,0.1,7.4,0.1,9.6,
CKM2010010104,1,B,9.3,0.1,7.3,0.1,9.5,
CKM2010010104,1.6,B,9.2,0.1,7.3,0.1,9.4,
CKM2010010105,0.2,B,10,0.1,7.3,0.1,9.9,
CKM2010010105,0.3,B,10,0.1,7.3,0.1,9.9,
CKM2010010106,0.2,B,9.3,0.1,7.3,0.1,11.5,
CKM2010010106,1,B,9.3,0.2,7.3,0.1,10.1,
CKM2010010106,1.3,B,9.2,0.2,7.3,0.1,9.8,
CKM2010010107,0.2,B,8.9,0.3,7.2,0.1,10.7,
CKM2010010107,0.3,B,8.9,0.3,7.2,0.1,10.7,
CKM2010010108,0.2,B,9.3,0.7,7.3,0.4,10.7,
CKM2010010108,0.4,B,9.3,0.7,7.3,0.4,10.1,
CKM2010010109,0.2,B,9.4,0.7,7.3,0.3,9.7,
CKM2010010109,0.3,B,9.4,0.6,7.2,0.3,9.5,
CKM2010010109,1,B,9.4,0.7,7.2,0.3,9.6,
CKM2010010109,2,B,9.4,0.7,7.2,0.3,9.6,
CKM2010010109,4,B,9.4,0.7,7.2,0.3,9.5,
CKM2010010109,5,B,9.4,0.7,7.2,0.3,9.5,
CKM2010010109,5.3,B,9.4,0.7,7.2,0.3,9.5,
CKM2010010110,0.2,B,9.7,0.1,7.7,0.1,11.5,
CKM2010010110,1,B,9.7,0.1,7.6,0.1,10.7,
CKM2010010110,1.9,B,9.8,0.1,7.5,0.1,9.9,
CKM2010010201,0.2,B,6.2,34.5,7.9,21.4,11.3,
CKM2010010201,0.3,B,6.2,34.5,7.9,21.4,11.3,
CKM2010010202,0.2,B,6.4,36.2,8,22.6,12.4,
CKM2010010202,1,B,6.4,36.3,8,22.7,11.6,
CKM2010010202,2,B,6.3,37.2,7.9,23.5,11.2,
CKM2010010203,0.2,B,7,40.1,8,25.3,11.2,
CKM2010010203,0.4,B,7,40.2,8,25.4,11,
CKM2010010204,0.2,B,6.8,40.7,8,25.7,12.1,
CKM2010010204,1,B,6.8,41.1,8.1,26,10.9,
CKM2010010204,2,B,6.8,41.2,8,26.1,10.7,
CKM2010010204,3,B,6.8,41.2,8,26.1,10.6,
CKM2010010204,4,B,6.8,41.3,8,26.2,10.6,
CKM2010010205,0.2,B,6.9,40.7,8,25.7,10.7,
CKM2010010205,0.3,B,6.9,40.8,8,25.8,10.7,
CKM2010010206,0.2,B,7.5,46.6,8,29.6,10.7,
CKM2010010206,1,B,7.5,47,8,30.2,10.4,
CKM2010010206,2,B,7.7,50.9,8,33.1,10,
CKM2010010206,3,B,7.8,51.5,8,34,9.7,
CKM2010010207,0.2,B,7.8,44.4,8.2,28.4,11,
CKM2010010207,1,B,7.6,50.3,8.2,32.8,9.8,
CKM2010010207,2,B,8.1,52.4,8.2,34.1,9.5,
CKM2010010207,3,B,8.1,52.4,8.2,34.1,9.4,
CKM2010010207,3.6,B,8.1,52.4,8.2,34,9.3,
CKM2010010208,0.2,B,7,38.1,8.2,23.2,11,
CKM2010010208,1,B,6.8,41.2,8.2,26.1,10.5,
CKM2010010208,1.8,B,6.6,46,8.2,29.3,10.1,
CKM2010010301,0.2,B,8.1,3.1,8.1,1.7,10.1,
CKM2010010301,0.3,B,8.1,3.2,8.1,1.7,10.1,
CKM2010010302,0.2,B,4.8,46.1,8.2,29.2,11.3,
CKM2010010302,1,B,4.7,50.6,8.1,32.4,10.8,
CKM2010010302,1.6,B,4.7,50.6,8.1,32.4,10.9,
CKM2010010303,0.2,B,5.1,49,8.2,31.3,10.8,
CKM2010010303,1,B,5,49,8.2,31.4,10.8,
CKM2010010303,2,B,5.2,50.2,8.2,32.3,10.7,
CKM2010010303,3,B,5.2,50.4,8.2,32.4,10.7,
CKM2010010303,3.6,B,5.2,50.4,8.2,32.4,10.7,
CKM2010010304,0.2,B,5.9,49.4,8.2,31.8,10.5,
CKM2010010304,1,B,5.9,49.4,8.2,31.8,10.5,
CKM2010010304,2,B,5.9,49.4,8.2,31.8,10.5,
CKM2010010304,3,B,5.9,49.5,8.2,31.8,10.6,
CKM2010010304,3.8,B,5.8,49.5,8.2,31.8,10.6,
CKM2010010305,0.2,B,4.7,50.7,8.2,32.5,11.9,
CKM2010010305,1,B,4.7,50.7,8.2,32.5,11.2,
CKM2010010305,2,B,4.6,50.7,8.2,32.5,11,
CKM2010010306,0.2,B,5.5,46.7,8.2,29.8,11.1,
CKM2010010306,0.5,B,5.5,46.7,8.2,29.8,11.1,
CKM2010010307,0.2,B,5.4,44.1,8.2,28,11.4,
CKM2010010307,0.6,B,5.4,44.2,8.2,28,11.4,
CKM2010010308,0.2,B,6.3,41.3,8.3,26.1,13.5,
CKM2010010308,0.5,B,5.3,41.3,8.3,26.1,11.8,
CKM2010010309,0.2,B,6.2,31.1,8.2,19,11.4,
CKM2010010309,0.6,B,6.2,32.4,8.2,20.1,11.4,
CKM2010010310,0.2,B,7.6,12.2,8,7,11.7,
CKM2010010310,1,B,7.5,12.2,8,7,11.6,
CKM2010010311,0.2,B,9.7,2.7,8.3,1.4,11.4,
CKM2010010311,0.5,B,9.7,2.8,8.2,1.5,10.4,
CKM2010010401,0.2,B,8.8,1,8,0.5,11,
CKM2010010402,0.2,B,6.3,41.1,8.1,26,12.6,
CKM2010010402,1,B,6.2,41.2,8.2,26,11.2,
CKM2010010402,2,B,6.3,48.8,8.2,31.4,10.5,
CKM2010010402,2.5,B,6.3,48.8,8.2,31.4,10.5,
CKM2010010403,0.2,B,6.6,38.1,8.2,23.9,11.7,
CKM2010010403,0.3,B,6.6,38.1,8.2,23.9,11.8,
CKM2010010404,0.2,B,6.3,36.6,8.2,22.8,11.5,
CKM2010010404,0.7,B,6,38,8.2,23.8,11.8,
CKM2010010405,0.2,B,6.7,35.1,8.2,21.8,11.5,
CKM2010010405,1,B,6.6,35.2,8.2,21.9,11.5,
CKM2010010406,0.2,B,8,34,8.3,21.2,12.8,
CKM2010010406,1,B,7.9,34.4,8.3,21.4,12.9,
CKM2010010407,0.2,B,7.1,35.8,8.2,22.3,11.6,
CKM2010010407,0.6,B,7,35.8,8.2,22.4,15.9,
CKM2010010408,0.2,B,7.1,35.8,8.2,22.3,11.9,
CKM2010010408,0.6,B,7.1,35.9,8.2,22.3,11.7,
CKM2010010409,0.2,B,7.6,36.3,8.2,22.7,11.9,
CKM2010010409,0.3,B,7.6,36.3,8.2,22.7,11.9,
CKM2010010410,0.2,B,7.7,36.3,8.2,22.7,12,
CKM2010010410,0.3,B,7.7,36.2,8.2,22.7,12,
CKM2010010411,0.2,B,7.4,25.7,8.2,15.6,11.5,
CKM2010010411,0.8,B,7.3,25.7,8.2,15.6,11.6,
CKM2010010412,0.2,B,7.6,24.5,8.2,14.8,11.8,
CKM2010010412,0.6,B,7.6,24.5,8.2,14.8,11.7,
CKM2010010501,0.2,B,9.4,0.2,8.3,0.1,10.1,
CKM2010010501,1,B,9.3,0.2,8.2,0.1,10,
CKM2010010501,2,B,9.3,0.3,8.2,0.1,10,
CKM2010010502,0.2,B,10.1,0.4,8,0.2,10.6,
CKM2010010502,0.3,B,10.1,0.4,7.9,0.2,10.6,
CKM2010010503,0.2,B,9.5,0.9,7.8,0.5,10.4,
CKM2010010503,0.3,B,9.5,1,7.8,0.5,10.3,
CKM2010010504,0.2,B,9.6,0.3,7.9,0.1,10.2,
CKM2010010504,0.3,B,9.5,0.3,7.9,0.1,10.1,
CKM2010010505,0.2,B,7.2,8.8,7.7,4.9,11.7,
CKM2010010506,0.2,B,7.9,28.7,8.2,17.6,11.8,
CKM2010010506,1,B,7.8,28.9,8.2,17.7,11.9,
CKM2010010506,1.6,B,7.8,28.9,8.2,17.7,11.9,
CKM2010010507,0.2,B,9.4,22.7,8,13.7,10.7,
CKM2010010507,0.9,B,8.6,24.7,8,15,10.7,
CKM2010010508,0.2,B,10,19,8,11,10.4,
CKM2010010508,0.5,B,8.3,27.9,8,17.1,10.6,
CKM2010010509,0.2,B,9.1,16.3,8,9.6,10.9,
CKM2010010509,0.5,B,9,16.7,7.9,9.8,10.6,
CKM2010010601,0.2,B,14.3,39.6,8.1,25.3,6.7,
CKM2010010601,1,B,13.6,40.4,8.1,25.8,6.4,
CKM2010010601,1.6,B,13.6,40.6,8.1,26,6.3,
CKM2010010602,0.2,B,13.9,39.9,8.1,25.5,6.3,
CKM2010010602,1,B,13.3,41.2,8.2,26.4,6.4,
CKM2010010602,1.5,B,13.2,41.3,8.2,26.4,6.4,
CKM2010010603,0.2,B,12.4,44.7,8.1,28.9,5.8,
CKM2010010603,0.7,B,12.4,44.8,8.1,28.9,5.8,
CKM2010010604,0.2,B,12.6,45.1,8.1,29.1,5.9,
CKM2010010604,0.4,B,12.6,45.1,8.1,29.1,5.9,
CKM2010010605,0.2,B,12.6,45.2,8.1,29.2,5.8,
CKM2010010605,0.7,B,12.6,45.2,8.2,29.2,5.8,
CKM2010010701,0.2,B,16.4,38.6,8,24.6,5,
CKM2010010701,0.6,B,16.4,38.7,7.9,24.7,4.9,
CKM2010010702,0.2,B,16.5,39.1,8,24.9,4.5,
CKM2010010703,0.2,B,16.6,39,8,24.9,4.4,
CKM2010010703,0.9,B,16.6,39,8,24.9,4.4,
CKM2010010704,0.2,B,16.7,39.7,8,25.3,4.2,
CKM2010010704,0.6,B,16.7,39.7,8,25.4,4.2,
CKM2010010705,0.2,B,18,39.3,8,25.1,4.1,
CKM2010010706,0.2,B,18.1,38.6,7.8,24.7,4.1,
CKM2010010801,0.2,B,14.6,45.1,7.9,29.1,8.7,
CKM2010010801,0.5,B,14.5,45.6,7.9,29.3,8.6,
CKM2010010802,0.2,B,14.7,41.4,7.9,26.6,8.3,
CKM2010010802,0.8,B,14.7,42.3,7.9,27.4,8.3,
CKM2010010803,0.2,B,13.9,48,7.9,31.9,8.3,
CKM2010010803,0.4,B,13.9,48.2,7.9,32,8.3,
CKM2010010804,0.2,B,14.2,47.7,7.9,31.9,8.3,
CKM2010010804,0.5,B,14.2,47.7,7.9,31.9,8.3,
CKM2010010805,0.2,B,14.3,44.1,7.9,28.6,8.4,
CKM2010010805,0.8,B,14.3,44.1,7.9,28.6,8.4,
CKM2010020101,0.2,B,13,0.4,7.1,0.2,11.2,
CKM2010020101,1,B,13,0.4,6.8,0.2,8.7,
CKM2010020101,2,B,13,0.4,6.6,0.2,8.5,
CKM2010020101,3,B,13,0.4,6.6,0.2,8.4,
CKM2010020102,0.2,B,13.1,0.4,6.5,0.2,10.2,
CKM2010020102,1,B,13.1,0.4,6.5,0.2,9.1,
CKM2010020102,2,B,13,0.4,6.5,0.2,8.7,
CKM2010020102,3,B,13,0.4,6.4,0.2,8.4,
CKM2010020103,0.2,B,13.1,0.4,6.6,0.2,9.4,
CKM2010020103,1,B,13.1,0.4,6.5,0.2,8.7,
CKM2010020103,2,B,13.1,0.4,6.5,0.2,8.6,
CKM2010020103,3,B,13.1,0.4,6.5,0.2,8.4,
CKM2010020104,0.2,B,13.7,0.4,6.6,0.2,8.6,
CKM2010020105,0.2,B,13.4,0.4,6.6,0.2,8.5,
CKM2010020106,0.2,B,13.2,0.4,6.6,0.2,8.4,
CKM2010020106,0.3,B,13.2,0.4,6.6,0.2,8.4,
CKM2010020107,0.2,B,13.1,0.4,6.5,0.2,8.7,
CKM2010020107,1,B,13.1,0.4,6.4,0.2,8.5,
CKM2010020107,2,B,13.1,0.4,6.4,0.2,8.4,
CKM2010020107,3,B,13.1,0.4,6.4,0.2,8.3,
CKM2010020107,4,B,13.1,0.4,6.4,0.2,8.3,
CKM2010020107,5,B,13.1,0.4,6.4,0.2,8.2,
CKM2010020107,5.3,B,13.1,0.4,6.4,0.2,8.2,
CKM2010020108,0.2,B,13.1,0.4,6.5,0.2,8.7,
CKM2010020108,1,B,13.2,0.4,6.5,0.2,8.5,
CKM2010020108,2,B,13.2,0.4,6.5,0.2,8.4,
CKM2010020108,3,B,13.2,0.4,6.5,0.2,8.3,
CKM2010020108,4,B,13.2,0.4,6.5,0.2,8.2,
CKM2010020108,4.3,B,13.2,0.4,6.5,0.2,8.2,
CKM2010020109,0.2,B,13.5,0.4,6.6,0.2,9,
CKM2010020109,0.8,B,13.4,0.4,6.5,0.2,8.6,
CKM2010020201,0.2,B,13.2,22.5,7.6,13.7,9.9,
CKM2010020202,0.2,B,13.2,33.3,7.9,20.9,9.6,
CKM2010020202,1,B,13.1,34.4,7.9,21.7,9.3,
CKM2010020202,1.7,B,13,38.7,7.9,24.7,9.1,
CKM2010020203,0.2,B,13.4,27.8,7.8,17.1,10.1,
CKM2010020203,1,B,13.2,29.7,7.8,18.3,9.4,
CKM2010020203,2,B,13,41.1,7.9,26.3,9,
CKM2010020203,2.3,B,13,41.1,7.9,26.3,9,
CKM2010020204,0.2,B,13.7,39.3,7.9,25.4,10,
CKM2010020204,1,B,13.3,42.2,7.9,27.2,9.6,
CKM2010020204,2,B,13.1,44.2,7.9,28.5,9.3,
CKM2010020204,3,B,13,44.9,7.9,29.1,9.1,
CKM2010020204,3.5,B,13,45.1,7.9,29.1,9,
CKM2010020205,0.2,B,13.5,42,9.6,27.1,8,
CKM2010020205,1,B,13.4,43.1,9.3,27.7,7.9,
CKM2010020205,1.7,B,13.3,43.4,9.2,28,7.9,
CKM2010020206,0.2,B,14.1,18.4,7.6,11,10.2,
CKM2010020206,1,B,14,18.8,7.6,11.1,9.8,
CKM2010020206,1.8,B,13.4,29.7,7.7,18.5,9,
CKM2010020207,0.2,B,15.3,9.8,7.3,5.6,8.6,
CKM2010020207,0.5,B,15.3,10.2,7.2,5.8,8.8,
CKM2010020301,0.2,B,10.5,34.7,7.7,21.8,11.6,
CKM2010020302,0.2,B,10.5,34.7,7.7,21.8,11.6,
CKM2010020303,0.2,B,12.4,37.7,7.9,23.9,9.8,
CKM2010020303,1,B,12.4,37.7,7.9,23.9,9.6,
CKM2010020303,2,B,12.3,38.5,7.9,24.5,9.3,
CKM2010020303,2.3,B,12.3,38.6,7.9,24.5,9.2,
CKM2010020304,0.2,B,12.9,44.8,8,29,9.2,
CKM2010020304,1,B,12.8,45,8,29.1,9.2,
CKM2010020304,2,B,12.8,45.1,8,29.2,9.1,
CKM2010020304,2.9,B,12.8,45.2,8,29.2,9.1,
CKM2010020305,0.2,B,13.2,45.7,8,29.6,9.1,
CKM2010020305,1,B,13.2,45.8,8,29.6,9.1,
CKM2010020305,2,B,12.9,45.9,8,29.7,9.1,
CKM2010020305,2.9,B,12.9,45.9,8,29.7,9,
CKM2010020306,0.2,B,13.2,47.6,8.1,31,9.2,
CKM2010020306,1,B,13.2,47.6,8,31,9.1,
CKM2010020306,2,B,13.2,47.7,8,31.1,9.1,
CKM2010020306,3,B,13.2,47.8,8,31.1,9.1,
CKM2010020306,4,B,13,48.5,8,31.6,9.1,
CKM2010020306,5,B,13.2,50.2,8,32.9,8.6,
CKM2010020306,5.8,B,13.2,50.3,8,32.9,8.4,
CKM2010020307,0.2,B,13.9,43.2,8.1,27.9,9.6,
CKM2010020307,1,B,13.7,44.9,8.1,29,9.5,
CKM2010020307,2,B,13.4,48.8,8.1,31.8,9.3,
CKM2010020401,0.2,B,11.2,37.6,7.8,23.8,10.1,
CKM2010020401,0.3,B,11.2,37.6,7.8,23.8,10.1,
CKM2010020402,0.2,B,10.3,36.7,7.8,23.2,10.9,
CKM2010020402,0.9,B,10.2,36.9,7.8,23.3,10.9,
CKM2010020403,0.2,B,10.5,35.8,7.9,22.5,10.7,
CKM2010020404,0.2,B,11.8,31.6,7.8,19.7,10.5,
CKM2010020404,0.8,B,11.9,32.7,7.9,20.5,10.5,
CKM2010020405,0.2,B,12,34,7.8,21.3,10.4,
CKM2010020405,1,B,11.8,35.5,7.9,22.5,9.9,
CKM2010020406,0.2,B,11.7,32.1,7.9,20,10.3,
CKM2010020406,0.4,B,11.7,32.1,7.9,20,10.2,
CKM2010020407,0.2,B,12.1,33,7.9,20.7,10.2,
CKM2010020407,1,B,12.1,33.1,7.9,20.7,9.9,
CKM2010020407,2,B,12,33.2,7.8,20.8,9.9,
CKM2010020407,2.3,B,12,33.3,7.9,20.8,9.8,
CKM2010020408,0.2,B,12,35.3,7.8,22,11,
CKM2010020408,0.9,B,12,35.4,7.9,22.3,10.4,
CKM2010020501,0.2,B,12.2,0.4,7.3,0.2,8.8,
CKM2010020501,0.4,B,12.2,0.4,7.2,0.2,8.7,
CKM2010020502,0.2,B,12.3,0.4,7.1,0.2,9,
CKM2010020502,0.5,B,12.3,0.4,7,0.2,8.6,
CKM2010020503,0.2,B,12.3,0.4,7.1,0.2,10.2,
CKM2010020504,0.2,B,10.9,1,7.1,0.5,10.4,
CKM2010020505,0.2,B,12.3,0.4,7.1,0.2,8.6,
CKM2010020506,0.2,B,10.8,3.6,7.8,1.9,12,
CKM2010020507,0.2,B,9.8,3.2,7.8,1.6,11.8,
CKM2010020507,0.4,B,9.7,3.3,7.8,1.7,11.7,
CKM2010020508,0.2,B,10.5,2.3,7.7,1.2,11,
CKM2010020508,0.6,B,10.2,2.6,7.6,1.4,10.9,
CKM2010020509,0.2,B,12.6,0.5,7.4,0.2,9.1,
CKM2010020509,0.4,B,12.7,0.5,7.5,0.3,8.7,
CKM2010020510,0.2,B,12.8,0.4,7.1,0.2,8.9,
CKM2010020510,0.8,B,12.8,0.4,7,0.2,8.9,
CKM2010020601,0.2,B,9.8,31.6,7.8,19.6,11.3,
CKM2010020601,1,B,9.8,31.6,7.8,19.6,11.3,
CKM2010020602,0.2,B,9.8,32.1,7.9,19.9,11.2,
CKM2010020602,0.4,B,9.8,32.1,7.9,19.9,11.1,
CKM2010020603,0.2,B,10,32.3,7.8,20.1,11.4,
CKM2010020603,0.4,B,10,32.4,7.9,20.1,11.1,
CKM2010020604,0.2,B,10.3,30.6,8,18.9,11.6,
CKM2010020605,0.2,B,10.7,29.4,8.1,18.2,11.8,
CKM2010020605,0.7,B,10.6,29.4,8,18.2,11.8,
CKM2010020606,0.2,B,10.8,30.3,8,18.7,11.7,
CKM2010020606,0.5,B,10.8,30.3,8,18.7,11.7,
CKM2010020607,0.2,B,10.8,30.9,8,19.2,11.5,
CKM2010020607,0.3,B,10.8,30.9,8,19.1,11.5,
CKM2010020701,0.2,B,13.7,40.1,7.7,25.6,9.5,
CKM2010020701,0.6,B,13.6,40.1,7.7,25.6,9.5,
CKM2010020702,0.2,B,15.6,31.6,7.8,19.8,8.8,
CKM2010020702,0.8,B,15.5,32,7.7,20,8.6,
CKM2010020703,0.2,B,16.2,27.3,7.7,16.9,8.2,
CKM2010020703,1,B,15.5,29.6,7.7,18.3,8.1,
CKM2010020703,1.1,B,15.5,29.7,7.7,18.4,8.1,
CKM2010020704,0.2,B,16.1,33,7.8,20.7,8.8,
CKM2010020704,0.8,B,15.2,35,7.8,22.1,8.9,
CKM2010020705,0.2,B,14.8,16,7.8,9.4,10.5,
CKM2010020705,0.7,B,14.6,38.3,7.9,24.4,10,
CKM2010020706,0.2,B,15.7,15.6,7.5,9.1,9.8,
CKM2010020706,0.5,B,15.7,15.5,7.4,9.1,9.7,
CKM2010020707,0.2,B,17.4,18.1,7.6,10.7,8.4,
CKM2010020707,0.5,B,17.4,18,7.6,10.7,8.4,
CKM2010020708,0.2,B,16.2,15.4,7.5,9,10,
CKM2010020708,0.5,B,16.2,15.4,7.5,9,10,
CKM2010020801,0.2,B,14.5,16.9,7.8,10,9.9,
CKM2010020801,0.6,B,14.4,16.9,7.6,10,9.7,
CKM2010020802,0.2,B,14.6,15.9,7.6,9.4,8.8,
CKM2010020802,0.6,B,14.6,15.9,7.6,9.4,8.7,
CKM2010020803,0.2,B,14,18,7.8,10.7,9.4,
CKM2010020803,0.8,B,14,22.7,7.6,13.7,9.2,
CKM2010020804,0.2,B,12.6,0.5,7.6,0.2,10.4,
CKM2010020804,0.8,B,12.7,0.5,7.5,0.2,10.2,
CKM2010020805,0.2,B,12.5,5.4,7.2,3,10.6,
CKM2010020805,0.8,B,12.4,24.5,7.1,15.1,9.6,
CKM2010020806,0.2,B,12.5,0.7,7.2,0.3,11.1,
CKM2010020806,0.7,B,12.5,0.7,7.2,0.3,10.9,
CKM2010020807,0.2,B,12.7,0.4,7.4,0.2,10.4,
CKM2010020807,0.4,B,12.7,0.4,7.4,0.2,10.4,
CKM2010020808,0.2,B,13.4,13.7,7.3,8,10.9,
CKM2010020809,0.2,B,13.1,8.8,7.3,4.9,10.7,
CKM2010020809,0.5,B,13.1,8.8,7.3,4.9,10.1,
