Reference,Depth,Beg_end,Temperature,Conductivity,pH,Salinity,DissolvedO2,Flag
CKM1996080503,3.9,B,28.8,46.7,8.2,30.4,5.5,
CKM1996080504,0.2,B,29.5,46.4,8.2,30.2,6,
CKM1996080504,5.2,B,29.5,46.5,8.2,30.3,5.9,
CKM1996080505,0.2,B,29.7,47.2,8.2,30.8,6,
CKM1996080505,5.6,B,29.6,47.6,8.2,31.1,6,
CKM1996080506,0.2,B,29.9,48.1,8.2,31.4,6.2,
CKM1996080506,6.1,B,29.3,50.3,8.2,33,6.3,
CKM1996080507,0.2,B,29.7,46.6,8.2,30.3,7.4,
CKM1996080507,3.9,B,28.8,47.4,8.2,30.9,6.6,
CKM1996080508,0.2,B,30.8,46.2,8.4,30,9.5,
CKM1996080508,1.9,B,30.7,46.2,8.4,30,9.5,
CKM1996080601,0.2,B,29.6,49.2,8.2,32.2,5.6,
CKM1996080601,4.8,B,29.6,49.3,8.2,32.3,5.9,
CKM1996080602,0.2,B,29.4,46.7,8.3,30.4,6.3,
CKM1996080602,4.5,B,29.4,47.1,8.3,30.7,6,
CKM1996080603,1.4,B,28.3,6.1,7.9,3.4,5.3,
CKM1996080604,0.5,B,30.5,29.3,8.3,18.1,8.7,
CKM1996080605,0.2,B,28.1,0.4,8.1,0.2,6.1,
CKM1996080605,1.8,B,28.1,4.6,8.1,0.3,5.9,
CKM1996080606,0.2,B,28.1,0.4,8.1,0.2,6.1,
CKM1996080606,2.8,B,28.1,0.4,8.1,0.2,6.1,
CKM1996080607,0.2,B,27.7,0.4,8.2,0.2,6.7,
CKM1996080607,6.3,B,27.7,0.4,8.2,0.2,6.2,
CKM1996080608,0.2,B,27.9,0.4,8.2,0.2,6.3,
CKM1996080608,3.7,B,27.7,0.4,8.1,0.2,6.1,
CKM1996080701,0.2,B,29.5,32.8,8.3,19.1,7.8,
CKM1996080701,2.2,B,29.2,33.8,8.2,21,6.7,
CKM1996080702,0.4,B,30.1,24.8,8.4,15.1,8.3,
CKM1996080703,0.5,B,30.5,23.8,8.2,14.4,8.5,
CKM1996080704,0.5,B,31.7,18.4,7.8,10.9,6.2,
CKM1996080705,0.3,B,31.4,19.4,8.1,8.1,7.9,
CKM1996080706,0.5,B,31.7,14.9,8.1,8.7,7.1,
CKM1996080707,0.5,B,28.3,0.4,8.2,0,6.1,
CKM1996080708,0.3,B,32.2,46.6,8.3,30.8,9.3,
CKM1996080801,0.6,B,29.4,45.2,8.1,29.3,4.4,
CKM1996080802,0.4,B,29.7,46.7,8.3,30.4,4.7,
CKM1996081301,0.2,B,26,37.6,,23.8,6.6,
CKM1996081302,0.3,B,26.7,5.7,8.1,2.4,8.1,
CKM1996081303,0.4,B,26.3,6.8,7.7,3.3,5.6,
CKM1996081304,0.5,B,27.3,38.5,,24.4,7.4,
CKM1996081401,0.5,B,26.9,35.9,7.7,22.7,4.8,
CKM1996081402,0.3,B,26.2,30.3,7.8,18.8,4.4,
CKM1996081403,0.6,B,26.9,35.6,7.9,22.7,5.1,
CKM1996081404,0.6,B,27.3,39.8,8,25.4,5.3,
CKM1996081405,0.3,B,28.6,41.8,8.2,27,7.2,
CKM1996081501,0.5,B,27.9,44,8.4,28.5,7.6,
CKM1996081502,0.3,B,28.9,28.1,8.1,17.2,7.3,
CKM1996081503,0.6,B,31.1,40.4,8.3,25.8,8.7,
CKM1996082001,0.3,B,28.8,46.7,8.4,30.3,5.8,
CKM1996082002,0.2,B,29.1,41.8,8.1,26.8,6.8,
CKM1996082002,3,B,29.3,45,7.2,29.4,5.9,
CKM1996082003,0.2,B,28.9,41.1,8.1,26.3,7.3,
CKM1996082003,2.5,B,28.9,41.3,8.1,26.4,6.9,
CKM1996082004,0.4,B,29.7,44.6,8.5,28.9,6.6,
CKM1996082005,0.3,B,29.9,43.6,8.7,28.3,10.1,
CKM1996090901,0.2,B,30.4,44.7,8.1,29,5.2,
CKM1996090901,4.8,B,30.3,45.4,8.1,29.4,4.9,
CKM1996090902,0.2,B,30.1,47.6,8.1,31,5.4,
CKM1996090902,5.6,B,30.1,47.6,8.1,31.1,5.2,
CKM1996090903,0.2,B,30.1,44.2,8.2,28.6,5.9,
CKM1996090903,5.2,B,29.9,49.3,8.1,32.4,4.6,
CKM1996090904,0.2,B,30.7,44.8,8.2,29.1,5.7,
CKM1996090904,3.3,B,30.4,46.6,8.1,30.3,4.8,
CKM1996090905,0.2,B,31,41.1,8.2,26.3,5.8,
CKM1996090905,2.8,B,30.4,44,8.1,29,4.9,
CKM1996090906,0.2,B,31.1,45.3,8.1,29.3,5.3,
CKM1996090906,4.8,B,30.4,47,8.1,30.6,4.5,
CKM1996090907,0.2,B,31,39.1,8.1,23.4,5.1,
CKM1996090907,2.7,B,30.7,39.4,8.1,25.1,4.7,
CKM1996091001,0.2,B,30,46.6,8.1,30.4,5.3,
CKM1996091001,4.8,B,30.1,46.7,8.1,30.4,4.8,
CKM1996091002,0.2,B,29.7,48.2,8.1,31.4,4.6,
CKM1996091002,5.2,B,29.7,48.2,8.1,31.5,4.9,
CKM1996091003,0.2,B,29.8,47.3,8.2,30.9,5.1,
CKM1996091003,4.6,B,29.8,47.1,8.2,31,4.9,
CKM1996091004,0.2,B,29.7,48.4,8.2,31.6,5.4,
CKM1996091004,5.1,B,29.7,48.5,8.2,31.7,5.3,
CKM1996091005,0.2,B,30.2,45.8,8.2,29.8,5.3,
CKM1996091005,3.1,B,30.2,45.9,8.2,29.8,5.1,
CKM1996091006,0.2,B,29.9,42.4,8.1,27.1,4.8,
CKM1996091006,3.1,B,30,43,8.1,27.7,4.7,
CKM1996091007,0.2,B,30.3,38.6,8.2,24.6,5.1,
CKM1996091007,2.8,B,29.7,40,8,25.6,3.6,
CKM1996091201,0.2,B,,,,23.2,,
CKM1996091201,2.4,B,,,,23.2,,
CKM1996091202,0.2,B,29.5,34,8.5,,8,
CKM1996091202,2.6,B,29.5,34,8.5,,7.9,
CKM1996091203,0.2,B,30,43.1,8.3,27.8,6.5,
CKM1996091203,2.7,B,29.8,43.2,8.3,27.9,6.1,
CKM1996091701,0.3,B,27.6,42.1,8.1,27.1,5.4,
CKM1996091702,0.5,B,27.7,38.3,7.9,24.4,4.5,
CKM1996091703,0.2,B,31.4,34.5,8.1,21.5,7.8,
CKM1996091704,0.2,B,32.4,35.2,8.1,22.2,6.6,
CKM1996091801,0.3,B,28.6,45,8.2,29.2,5,
CKM1996091802,0.3,B,28.7,44.7,8.4,29,5.9,
CKM1996091803,0.4,B,28.9,45.3,8.4,29.4,5.6,
CKM1996091804,0.3,B,31.8,44.9,8.6,29.1,8.7,
CKM1996091901,0.2,B,27.2,,,21.8,,
CKM1996091901,3.6,B,,,,29.1,,
CKM1996091902,0.2,B,27.2,,,24.5,,
CKM1996091902,2.7,B,,,,28.5,,
CKM1996091903,0.2,B,27.2,,,25.5,,
CKM1996091903,3.9,B,,,,29.4,,
CKM1996091904,0.7,B,28.1,,,27.8,,
CKM1996091905,0.8,B,28.9,27.7,8.4,17,5.6,
CKM1996091906,0.2,B,30.1,2.4,8.3,1.3,6.4,
CKM1996092001,0.6,B,28.1,40.6,8.4,26,6.7,
CKM1996092002,0.6,B,27.8,40.6,,,,
CKM1996092501,0.5,B,25.3,1.1,8.2,0.6,6.1,
CKM1996092502,0.2,B,25.5,,,28,,
CKM1996092503,0.5,B,26.2,33.9,8.2,21.3,5.2,
CKM1996092504,0.5,B,25,,,16,,
CKM1996092505,0.3,B,26.4,28.2,8.1,17.3,5,
CKM1996092506,0.6,B,25,,,20,,
CKM1996092507,0.5,B,26.6,24.5,8.3,14.8,5.7,
CKM1996092508,0.4,B,28,,,21,,
CKM1996092509,0.5,B,26.3,26.4,8.3,16.1,5.2,
CKM1996092510,0.6,B,27.4,17.2,8.1,10.1,5.4,
CKM1996092511,0.5,B,28.3,21,8.3,12.5,6.6,
CKM1996100401,0.2,B,25.2,37.7,8.6,23.9,6.1,
CKM1996100401,2.7,B,25.2,37.8,8.6,24,5.9,
CKM1996100402,0.2,B,25.1,43.8,8.6,28.3,5.8,
CKM1996100402,1.6,B,25.1,44.5,8.6,28.8,5.8,
CKM1996100403,0.2,B,25.4,45.3,8.6,29.4,5.9,
CKM1996100403,3.9,B,25.4,45.3,8.6,29.4,5.8,
CKM1996100404,2.2,B,26.1,47.4,8.7,30.9,6.4,
CKM1996100405,0.2,B,25.5,43.2,8.7,27.9,6.2,
CKM1996100405,3.7,B,25.4,43.3,8.6,27.9,5.8,
CKM1996101101,0.4,B,21.3,46.5,8.6,30.3,6.1,
CKM1996101102,0.5,B,21.8,45.9,8.7,29.8,7.1,
CKM1996101103,0.2,B,22.8,47.1,8.7,30.7,6.5,
CKM1996101103,6.3,B,23.1,47.3,8.7,30.8,5.8,
CKM1996101104,0.2,B,22.9,46.2,8.8,30,6.6,
CKM1996101104,5.2,B,23.5,47.7,8.7,31.1,5,
CKM1996101105,0.2,B,22.7,45,8.7,29.2,6.6,
CKM1996101105,5.6,B,23.1,46.3,8.7,30.1,5.1,
CKM1996101106,0.2,B,22.4,37.4,8.7,23.7,9.1,
CKM1996101106,2.5,B,22.2,38.5,8.6,24.5,7.1,
CKM1996101107,0.2,B,22.3,30.7,8.5,19,7.4,
CKM1996101107,2.7,B,21.8,32.2,8.5,20.1,6.2,
CKM1996101108,0.2,B,23,41.6,8.8,26.7,8.5,
CKM1996101108,3,B,23.1,44.5,8.8,28.8,7,
CKM1996101109,0.2,B,22.8,42.6,8.8,27.4,7.7,
CKM1996101109,2.8,B,22.5,43.4,8.8,28,7.3,
CKM1996101501,0.4,B,21.2,42.6,8.8,27.4,7.5,
CKM1996101502,0.3,B,23,43.9,9,28.4,7.5,
CKM1996101503,0.4,B,23.3,43.4,9,28,7.9,
CKM1996101504,0.5,B,24.9,44.4,9,28.7,8.3,
CKM1996101505,0.4,B,24.9,37.4,8.9,23.7,7.9,
CKM1996101601,0.3,B,23.3,38.6,8.8,24.6,6.7,
CKM1996101602,0.6,B,24.3,40.2,8.9,25.7,7.5,
CKM1996101701,0.5,B,23.5,27.5,8.2,16.9,4.8,
CKM1996101702,0.2,B,27,30.7,8.8,19,9.7,
CKM1996101703,0.5,B,24.6,20.1,8.2,12,4.7,
CKM1996101704,0.5,B,26,3.3,8.3,1.8,6.5,
CKM1996101801,0.2,B,23.5,8.1,8.1,4.5,3.9,
CKM1996101801,1.5,B,23.5,8.1,8.1,4.5,4.9,
CKM1996101802,0.5,B,25.5,15.8,8.1,9.2,4.5,
CKM1996101803,0.5,B,24.5,6,7.9,3.3,4.5,
CKM1996101804,0.9,B,22.6,1.1,8,0.6,5.3,
CKM1996101805,0.9,B,23.4,2.7,8,1.5,4.4,
CKM1996102201,0.2,B,19.6,4.6,7.9,2.5,5.1,
CKM1996102201,4,B,20.9,31.3,8.2,19.4,3.4,
CKM1996102202,0.2,B,20.8,40.1,8.8,25.6,6.7,
CKM1996102202,3.7,B,21.3,48.6,8.8,31.8,5.4,
CKM1996102203,0.2,B,20.6,42.9,8.9,27.6,7.1,
CKM1996102203,5.1,B,21,49.8,8.8,32.7,5.8,
CKM1996102204,0.2,B,20.9,40.6,8.8,26,6.8,
CKM1996102204,4.8,B,21.1,49.2,8.9,32.2,5.6,
CKM1996102205,0.2,B,21.6,42,8.9,27,6.8,
CKM1996102205,3.6,B,21.1,48.2,8.8,31.5,4.9,
CKM1996102206,0.2,B,21.5,34.7,8.6,21.8,6.2,
CKM1996102206,1.9,B,21,42.7,8.8,27.5,5.1,
CKM1996102207,0.2,B,22.2,39.6,8.8,25.3,6.1,
CKM1996102207,2.4,B,21.5,44.2,8.8,28.6,5.7,
CKM1996102208,0.2,B,21.4,42.3,8.9,27.2,7.2,
CKM1996102208,3.1,B,21.2,42.6,8.9,27.4,6.4,
CKM1996102209,0.5,B,21.9,42.4,8.9,27.3,6.9,
CKM1996102210,0.3,B,22.4,29.6,8.5,18.3,8.1,
CKM1996102301,0.4,B,21.3,33.4,8.2,20.9,4,
CKM1996102302,0.4,B,22.1,36.2,8.6,22.8,6.1,
CKM1996102303,0.9,B,22.5,27.2,8.3,16.7,5.7,
CKM1996102304,0.6,B,22,22.1,8.3,13.3,5.6,
CKM1996110101,0.3,B,25.7,44.8,8.7,29,6,
CKM1996110102,0.3,B,24.4,33.4,8.7,20.9,6.2,
CKM1996110103,0.2,B,26.2,40.2,8.8,25.7,6.8,
CKM1996110103,3.9,B,25.5,42.4,8.7,27.3,5.3,
CKM1996110104,0.2,B,26.3,43.6,8.1,28.2,6.6,
CKM1996110104,2.7,B,25.8,43.8,8.8,28.3,6.2,
CKM1996110501,0.5,B,19.5,40.7,8.9,26.1,6.8,
CKM1996110502,0.4,B,20.1,39,8.8,24.8,7.1,
CKM1996110503,0.2,B,19.8,37.8,8.9,24,8.3,
CKM1996110503,2.1,B,19.4,39,8.9,24.8,7.3,
CKM1996110504,0.2,B,20.6,43.1,8.9,27.8,7.2,
CKM1996110504,3.1,B,20.4,45.1,9,29.2,6.8,
CKM1996110505,0.2,B,20.3,42.6,9,27.4,7.4,
CKM1996110505,1.8,B,20.3,42.5,9,27.4,7.3,
CKM1996110506,0.2,B,21.4,46.1,8.9,30,6.7,
CKM1996110506,5.1,B,21.5,46.6,8.9,30.3,6.1,
CKM1996110507,0.2,B,21.6,45.4,8.9,29.5,7,
CKM1996110507,6.6,B,21.8,49.4,8.9,32.4,5.6,
CKM1996110701,0.2,B,21.7,39.1,8.7,24.9,5.9,
CKM1996110701,1.9,B,21.7,39.2,8.7,25,5.8,
CKM1996110702,0.2,B,21.9,31.2,8.8,19.4,6.7,
CKM1996110702,2.4,B,21.8,38.1,8.8,24.2,6.2,
CKM1996110703,0.2,B,21.7,44.8,8.9,29,6.6,
CKM1996110703,2.1,B,21.7,44.9,8.9,29.1,6,
CKM1996110704,0.2,B,21.9,45.8,8.9,29.8,7.2,
CKM1996110704,4.8,B,21.6,46,8.9,29.9,6.3,
CKM1996110705,0.2,B,21.9,45.9,8.9,29.8,6.8,
CKM1996110705,4.3,B,21.5,46.2,8.8,30,5.4,
CKM1996110706,0.2,B,22.7,46.5,8.9,30.3,6.2,
CKM1996110706,4.8,B,21.7,47,8.9,30.6,5.6,
CKM1996111301,0.3,B,15.6,,,31,,
CKM1996111302,2.3,B,15.6,,,23,,
CKM1996111303,1.1,B,16.1,,,29,,
CKM1996111304,0.4,B,15.6,,,24,,
CKM1996111401,0.4,B,15.6,,,19,,
CKM1996111402,1.6,B,16.1,,,15,,
CKM1996111403,2.1,B,15.5,,,30,,
CKM1996111404,2,B,16.7,,,25,,
CKM1996111405,1,B,16.7,,,20,,
CKM1996111406,0.3,B,18.3,,,12,,
CKM1996111407,0.3,B,17.8,,,19,,
CKM1996111801,1.4,B,16.5,,,28,,
CKM1996111802,0.6,B,17,,,27.5,,
CKM1996111803,0.2,B,19,,,22,,
CKM1996111804,0.7,B,18,,,28,,
CKM1996111901,0.6,B,18.8,,,24,,
CKM1996111902,0.5,B,20,,,5,,
CKM1996111903,0.5,B,20.2,,,6,,
CKM1996111904,0.5,B,20.1,,,7,,
CKM1996112001,0.9,B,20.4,,,24,,
CKM1996112002,0.4,B,20.6,,,19,,
CKM1996112003,0.3,B,20.6,,,12,,
CKM1996112004,0.6,B,20.6,,,16,,
CKM1996112101,0.6,B,20,,,24,,
CKM1996112102,0.5,B,19.4,,,25,,
CKM1996112103,0.6,B,21.1,,,24,,
CKM1996112104,0.5,B,22.4,,,24,,
CKM1996120601,0.2,B,16.5,48.6,8,31.7,8.1,
CKM1996120601,3.4,B,16.5,48.6,8,31.7,7.9,
CKM1996120602,0.2,B,16.7,49.4,8.1,32.3,8.3,
CKM1996120602,5.4,B,16.8,50.2,8.1,32.9,7.5,
CKM1996120603,0.2,B,16.2,48.4,8.1,31.6,8.5,
CKM1996120603,5.2,B,16.8,49.9,8.1,32.8,7.5,
CKM1996120604,0.2,B,16.6,47.5,8.1,31,8.5,
CKM1996120604,4.9,B,16.9,49.8,8.1,32.4,7.3,
CKM1996120605,0.2,B,17.4,49.3,8.1,32.2,7.8,
CKM1996120605,5.2,B,16.6,49.6,8.1,32.3,7.9,
CKM1996120606,0.2,B,16.6,47.3,8.2,30.7,8.4,
CKM1996120606,4.5,B,16.3,48.1,8.2,31.3,8.2,
CKM1996120607,0.2,B,17.6,40.1,8.1,25.6,8.6,
CKM1996120607,2.5,B,16.5,45.4,8.2,29.4,8.5,
CKM1996120608,0.2,B,17.1,47,8.2,30.5,8.4,
CKM1996120608,3.9,B,16.4,47.5,8.2,30.9,8.4,
CKM1996120609,0.2,B,17.3,45.8,8.2,29.7,9,
CKM1996120609,3,B,16.6,47.7,8.1,31,8.1,
CKM1996120610,0.2,B,17,47.3,8.2,30.8,8.4,
CKM1996120610,4.6,B,17,47.6,8.2,31.1,8.2,
CKM1996120611,0.2,B,17.4,47.2,8.2,30.7,8.9,
CKM1996120611,3.6,B,17.2,47.7,8.2,31.1,8.5,
CKM1996120612,0.2,B,17.7,47.2,8.2,30.8,9.3,
CKM1996120612,2.8,B,17.1,48.5,8.2,31.6,8.8,
CKM1996120901,0.3,B,14.3,46.5,8.3,30.1,9,
CKM1996120902,0.4,B,14.1,43,7.9,27.7,8.6,
CKM1996120903,0.2,B,14,42.2,7.9,27.1,8.4,
CKM1996120903,1.6,B,14,42.3,7.9,27.1,8.3,
CKM1996120904,0.2,B,14.6,43.7,8,28.1,9,
CKM1996120904,2.4,B,14.6,43.7,8,28.1,8.7,
CKM1996120905,0.2,B,15.1,44.7,8.1,28.9,9.5,
CKM1996120905,2.5,B,15.1,44.9,8.1,29,8.9,
CKM1996120906,0.2,B,14.4,44,8,28.4,9,
CKM1996120906,2.8,B,14.3,44.1,8,28.5,8.6,
CKM1996120907,0.3,B,13.9,32,8,19.8,10.5,
CKM1996120908,0.2,B,14.4,29.3,8,18,10.1,
CKM1996120908,3.1,B,13.9,33,8,20.4,8.9,
CKM1996120909,0.3,B,15,40.8,8.1,26.1,10.3,
CKM1996121001,0.2,B,14,29.5,7.7,18.1,8.7,
CKM1996121002,0.5,B,15.6,20.9,7.8,12.3,9.7,
CKM1996121003,0.3,B,15.3,27.7,8,16.9,9.6,
CKM1996121004,0.4,B,15.4,24.4,8,14.6,9.4,
CKM1996121201,0.3,B,16.6,4.7,7.2,2.1,8.9,
CKM1996121202,0.6,B,14.8,41.1,8,26.3,9.7,
CKM1996121203,0.2,B,15.1,42.8,8,27.3,9.2,
CKM1996121203,3.1,B,14.9,42.8,8,27.5,8.3,
CKM1996121204,0.2,B,15.1,36.6,8,23.2,9.6,
CKM1996121204,2.1,B,14.9,36.6,8,23.2,9.1,
CKM1996121205,0.3,B,16.1,25.6,7.9,15.5,10.4,
CKM1996121206,0.5,B,16.6,12.7,7.8,7,9.9,
CKM1996121207,0.4,B,17.1,13.2,7.9,7.4,9.5,
CKM1996121208,0.6,B,16,31.4,8,19.4,9.4,
