"","Date","Month","Start.time","End.time","Locality","Site","Bar","Station","Counter","TransLngth","Cnt_Live","Cnt_Dead","Replicate","Treatment","Location","Substation"
"77",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",12.5,192,"NA","1","control",NA,"CKI2"
"78",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",15,131,"NA","1","control",NA,"CKI2"
"79",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",17.5,54,"NA","1","control",NA,"CKI2"
"80",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",20,110,"NA","1","control",NA,"CKI2"
"81",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",22.5,128,"NA","1","control",NA,"CKI2"
"82",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",25,23,"NA","1","control",NA,"CKI2"
"83",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",27.5,36,"NA","1","control",NA,"CKI2"
"84",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",29,0,"NA","1","control",NA,"CKI2"
"85",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",2.5,89,"NA","1","control",NA,"CKN1"
"86",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",5,108,"NA","1","control",NA,"CKN1"
"87",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",7.5,8,"NA","1","control",NA,"CKN1"
"88",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",10,17,"NA","1","control",NA,"CKN1"
"89",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",12.5,15,"NA","1","control",NA,"CKN1"
"90",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",15,113,"NA","1","control",NA,"CKN1"
"91",2010-05-27,"May","17:15","17:40","CK","N","1","CKN1","JANESSY",15.3,0,"NA","1","control",NA,"CKN1"
"92",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",2.5,0,"NA","1","control",NA,"CKN2"
"93",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",5,0,"NA","1","control",NA,"CKN2"
"94",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",7.5,0,"NA","1","control",NA,"CKN2"
"95",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",10,4,"NA","1","control",NA,"CKN2"
"96",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",12.5,1,"NA","1","control",NA,"CKN2"
"97",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",15,0,"NA","1","control",NA,"CKN2"
"98",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",17.5,0,"NA","1","control",NA,"CKN2"
"99",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",20,0,"NA","1","control",NA,"CKN2"
"100",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",22.5,0,"NA","1","control",NA,"CKN2"
"101",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",25,0,"NA","1","control",NA,"CKN2"
"102",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",27.5,0,"NA","1","control",NA,"CKN2"
"103",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",30,0,"NA","1","control",NA,"CKN2"
"104",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",32.5,0,"NA","1","control",NA,"CKN2"
"105",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",35,39,"NA","1","control",NA,"CKN2"
"106",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",37.5,0,"NA","1","control",NA,"CKN2"
"107",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",40,19,"NA","1","control",NA,"CKN2"
"108",2010-05-27,"May","19:11","19:27","CK","N","2","CKN2","GERALD",41,20,"NA","1","control",NA,"CKN2"
"109",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",2.5,71,"NA","1","control",NA,"CKN3"
"110",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",5,62,"NA","1","control",NA,"CKN3"
"111",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",7.5,25,"NA","1","control",NA,"CKN3"
"112",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",10,196,"NA","1","control",NA,"CKN3"
"113",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",12.5,238,"NA","1","control",NA,"CKN3"
"114",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",15,210,"NA","1","control",NA,"CKN3"
"115",2010-05-27,"May","18:27","NA","CK","N","3","CKN3","GERALD",16.5,138,"NA","1","control",NA,"CKN3"
"116",2010-07-09,"July","NA","NA","CK","N","1","CKN1","LAURA",2.5,141,"NA","1","control",NA,"CKN1"
"117",2010-07-09,"July","NA","NA","CK","N","1","CKN1","LAURA",5,152,"NA","1","control",NA,"CKN1"
"118",2010-07-09,"July","NA","NA","CK","N","1","CKN1","LAURA",7.5,20,"NA","1","control",NA,"CKN1"
"119",2010-07-09,"July","NA","NA","CK","N","1","CKN1","LAURA",10,34,"NA","1","control",NA,"CKN1"
"120",2010-07-09,"July","NA","NA","CK","N","1","CKN1","LAURA",12.5,27,"NA","1","control",NA,"CKN1"
"121",2010-07-09,"July","NA","NA","CK","N","1","CKN1","LAURA",15,62,"NA","1","control",NA,"CKN1"
"122",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",2.5,0,"NA","1","control",NA,"CKN2"
"123",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",5,0,"NA","1","control",NA,"CKN2"
"124",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",7.5,2,"NA","1","control",NA,"CKN2"
"125",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",10,0,"NA","1","control",NA,"CKN2"
"126",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",12.5,0,"NA","1","control",NA,"CKN2"
"127",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",15,0,"NA","1","control",NA,"CKN2"
"128",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",17.5,0,"NA","1","control",NA,"CKN2"
"129",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",20,4,"NA","1","control",NA,"CKN2"
"130",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",22.5,0,"NA","1","control",NA,"CKN2"
"131",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",25,0,"NA","1","control",NA,"CKN2"
"132",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",27.5,0,"NA","1","control",NA,"CKN2"
"133",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",30,0,"NA","1","control",NA,"CKN2"
"134",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",32.5,6,"NA","1","control",NA,"CKN2"
"135",2010-07-09,"July","NA","NA","CK","N","2","CKN2","JERRY/LAURA",35,66,"NA","1","control",NA,"CKN2"
"136",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",2.5,67,"NA","1","control",NA,"CKN3"
"137",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",5,129,"NA","1","control",NA,"CKN3"
"138",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",7.5,80,"NA","1","control",NA,"CKN3"
"139",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",10,334,"NA","1","control",NA,"CKN3"
"140",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",12.5,235,"NA","1","control",NA,"CKN3"
"141",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",15,405,"NA","1","control",NA,"CKN3"
"142",2010-07-09,"July","NA","NA","CK","N","3","CKN3","JERRY/LAURA",17.5,205,"NA","1","control",NA,"CKN3"
"143",2010-08-08,"August","18:40","19:30","CK","N","1","CKN1","ZACH",2.5,45,"NA","1","control",NA,"CKN1"
"144",2010-08-08,"August","18:40","19:30","CK","N","1","CKN1","ZACH",5,5,"NA","1","control",NA,"CKN1"
"145",2010-08-08,"August","18:40","19:30","CK","N","1","CKN1","ZACH",7.5,24,"NA","1","control",NA,"CKN1"
"146",2010-08-08,"August","18:40","19:30","CK","N","1","CKN1","ZACH",10,66,"NA","1","control",NA,"CKN1"
"147",2010-08-08,"August","18:40","19:30","CK","N","1","CKN1","ZACH",12.5,64,"NA","1","control",NA,"CKN1"
"148",2010-08-08,"August","18:40","19:30","CK","N","1","CKN1","ZACH",15,29,"NA","1","control",NA,"CKN1"
"149",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",2.5,0,"NA","1","control",NA,"CKN2"
"150",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",5,0,"NA","1","control",NA,"CKN2"
"151",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",7.5,0,"NA","1","control",NA,"CKN2"
"152",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",10,0,"NA","1","control",NA,"CKN2"
"153",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",12.5,0,"NA","1","control",NA,"CKN2"
"154",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",15,0,"NA","1","control",NA,"CKN2"
"155",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",17.5,0,"NA","1","control",NA,"CKN2"
"156",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",20,0,"NA","1","control",NA,"CKN2"
"157",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",22.5,0,"NA","1","control",NA,"CKN2"
"158",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",25,20,"NA","1","control",NA,"CKN2"
"159",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",27.5,0,"NA","1","control",NA,"CKN2"
"160",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",30,0,"NA","1","control",NA,"CKN2"
"161",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",32.5,0,"NA","1","control",NA,"CKN2"
"162",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",35,0,"NA","1","control",NA,"CKN2"
"163",2010-08-08,"August","18:20","18:35","CK","N","2","CKN2","JERRY/LAURA",37.5,1,"NA","1","control",NA,"CKN2"
"164",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",2.5,123,"NA","1","control",NA,"CKN3"
"165",2010-08-08,"August","18:48","19:00","CK","N","3","CKN3","LAURA",5,130,"NA","1","control",NA,"CKN3"
