date,site,recorder,transect number,distance along transect,distance from transect (m),live,,,,,,dead,,,,Live count over 100,,,,,dead count over 100,,
5/16/2015,LC02,Nick Fisch,3,3,2.5,67,19,49,24,31,18,,,,,,,,,,,,
5/16/2015,LC02,Nick Fisch,3,3,2.5,28,47,50,33,29,35,,,,,,,,,,,,
5/16/2015,LC02,Nick Fisch,3,3,2.5,38,49,52,23,20,28,,,,,,,,,,,,
5/16/2015,LC02,Nick Fisch,3,3,2.5,26,41,25,,,,,,,,,,,,,,,
5/16/2015,LC02,Nick Fisch,3,21,0.4,,,,,,,,22,,,,,,,,,,
5/16/2015,LC02,Nick Fisch,3,9,2,28,27,33,28,,,,,,,,,,,,29,,
5/17/2015,LC01,Nick Fisch,1,9,0.7,49,24,32,25,26,40,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,9,0.7,49,40,41,40,22,23,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,9,0.7,35,32,28,,,,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,20,1.9,51,60,31,32,40,30,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,20,1.9,29,43,29,28,,,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,2,1.5,35,24,32,30,25,31,,,,,,,,,,5,,
5/17/2015,LC01,Nick Fisch,1,2,1.5,24,20,24,33,35,30,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,2,1.5,38,34,28,34,30,40,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,2,1.5,22,32,56,44,25,35,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,1,2,1.5,28,35,18,22,24,,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,9,1.8,72,36,36,33,39,59,,,,,,,,,,11,,
5/17/2015,LC01,Nick Fisch,2,9,1.8,34,60,66,61,59,58,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,9,1.8,31,32,25,51,50,46,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,9,1.8,45,49,50,40,54,27,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,9,1.8,26,,,,,,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,0,4,na,,,,,,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,13,2,30,28,27,38,40,33,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,13,2,50,22,37,42,24,28,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,13,2,46,27,52,19,34,42,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,13,2,43,38,24,23,22,29,,,,,,,,,,,,
5/17/2015,LC01,Nick Fisch,2,13,2,36,,,,,,,,,,,,,,,,,
