Date,Num,N,E,Elev,Transect,Element_id,Type
7/31/2018,150,1791223.466,303194.435,-0.993,2,11b,GS ROCK
7/31/2018,151,1791221.802,303193.562,-1.369,2,11b,GS ROCK
7/31/2018,152,1791219.429,303192.762,-1.479,2,11b,GS ROCK
7/31/2018,153,1791217.338,303191.227,-1.134,2,11b,GS ROCK
7/31/2018,154,1791215.539,303188.686,-1.181,2,11b,GS ROCK
7/31/2018,155,1791215.178,303185.085,-1.064,2,11b,GS ROCK
7/31/2018,156,1791214.182,303185.817,-0.327,2,11b,GS ROCK
7/31/2018,157,1791214.271,303181.699,-1.283,2,11b,GS ROCK
7/31/2018,158,1791211.34,303182.338,-1.28,2,11b,GS ROCK
7/31/2018,161,1791289.01,303128.551,-1.338,1,11b,GS ROCK
7/31/2018,162,1791289.089,303129.719,-1.501,1,11b,GS ROCK
7/31/2018,163,1791287.544,303130.658,-0.857,1,11b,GS ROCK
7/31/2018,164,1791289.073,303131.971,-0.818,1,11b,GS ROCK
7/31/2018,165,1791288.98,303133.684,-1.285,1,11b,GS ROCK
7/31/2018,166,1791289.651,303134.481,-0.815,1,11b,GS ROCK
7/31/2018,167,1791291.791,303134.963,-1.11,1,11b,GS ROCK
7/31/2018,168,1791290.437,303137.334,-0.645,1,11b,GS ROCK
7/31/2018,169,1791290.359,303140.906,-0.847,1,11b,GS ROCK
7/31/2018,170,1791292.602,303141.496,-1.135,1,11b,GS ROCK
7/31/2018,171,1791291.121,303142.893,-1.424,1,11b,GS ROCK
7/31/2018,172,1791293.305,303145.137,-1.055,1,11b,GS ROCK
7/31/2018,173,1791295.82,303148.14,-1.143,1,11b,GS ROCK
7/31/2018,174,1791295.362,303151.451,-0.791,1,11b,GS ROCK
7/31/2018,175,1791297.462,303153.288,-1.339,1,11b,GS ROCK
7/31/2018,176,1791298.431,303155.716,-1.264,1,11b,GS ROCK
7/31/2018,179,1791785.712,302876.04,-1.462,1,10b,GS ROCK
7/31/2018,180,1791783.767,302876.98,-1.46,1,10b,GS ROCK
7/31/2018,181,1791782.253,302873.438,-1.002,1,10b,GS ROCK
7/31/2018,182,1791781.849,302871.969,-1.63,1,10b,GS ROCK
7/31/2018,183,1791780.085,302871.586,-1.339,1,10b,GS ROCK
7/31/2018,184,1791780.017,302869.735,-0.735,1,10b,GS ROCK
7/31/2018,185,1791778.017,302870.034,-1.319,1,10b,GS ROCK
7/31/2018,186,1791782.348,302866.192,-1.176,1,10b,GS ROCK
7/31/2018,187,1791778.075,302864.733,-1.4,1,10b,GS ROCK
7/31/2018,188,1791777.718,302862.385,-1.088,1,10b,GS ROCK
7/31/2018,189,1791773.019,302861.904,-1.39,1,10b,GS ROCK
7/31/2018,190,1791774.435,302859.723,-1.599,1,10b,GS ROCK
7/31/2018,191,1791771.966,302860.423,-1.555,1,10b,GS ROCK
7/31/2018,192,1791771.561,302857.337,-1.226,1,10b,GS ROCK
7/31/2018,195,1792612.784,301967.058,-1.152,2,9b,GS ROCK
7/31/2018,196,1792609.788,301969.729,-1.213,2,9b,GS ROCK
7/31/2018,197,1792609.47,301964.277,-1.226,2,9b,GS ROCK
7/31/2018,198,1792606.364,301964.265,-0.814,2,9b,GS ROCK
7/31/2018,199,1792604.779,301963.135,-1.59,2,9b,GS ROCK
7/31/2018,200,1792603.655,301961.885,-1.639,2,9b,GS ROCK
7/31/2018,201,1792601.352,301958.871,-1.514,2,9b,GS ROCK
7/31/2018,204,1792648.999,301897.291,-0.993,1,9b,GS ROCK
7/31/2018,205,1792650.06,301900.522,-1.136,1,9b,GS ROCK
7/31/2018,206,1792651.914,301902.603,-1.09,1,9b,GS ROCK
7/31/2018,207,1792651.606,301904.559,-1.158,1,9b,GS ROCK
7/31/2018,208,1792652.365,301906.173,-1.047,1,9b,GS ROCK
7/31/2018,209,1792656.039,301908.158,-1.259,1,9b,GS ROCK
7/31/2018,210,1792657.115,301909.357,-1.08,1,9b,GS ROCK
7/31/2018,211,1792658.984,301908.538,-0.827,1,9b,GS ROCK
7/31/2018,212,1792663.146,301911.566,-0.582,1,9b,GS ROCK
7/31/2018,213,1792665.202,301913.707,-0.588,1,9b,GS ROCK
7/31/2018,214,1792666.206,301916.722,-1.066,1,9b,GS ROCK
7/31/2018,217,1793487.119,301251.712,-1.264,1,8a,GS ROCK
7/31/2018,218,1793485.647,301249.491,-1.128,1,8a,GS ROCK
7/31/2018,219,1793485.311,301247.487,-1.459,1,8a,GS ROCK
