Number,X,Y,Elev,Transect,Element,Type
905,1793869.842,300612.653,-1.6,3,4,ROCK TOP
906,1793866.773,300611.039,-1.517,3,4,ROCK TOP
907,1793864.121,300610.064,-1.658,3,4,ROCK TOP
908,1793861.017,300610.441,-1.605,3,4,ROCK TOP
909,1793858.094,300609.778,-1.24,3,4,ROCK TOP
910,1793855.617,300608.724,-1.46,3,4,ROCK TOP
911,1793852.454,300608.367,-1.447,3,4,ROCK TOP
912,1793848.799,300607.612,-2.331,3,4,GS
913,1793840.212,300633.834,-2.565,4,4,GS
914,1793842.749,300635.077,-1.703,4,4,ROCK TOP
915,1793845.748,300638.148,-1.696,4,4,ROCK TOP
916,1793849.099,300637.203,-1.64,4,4,ROCK TOP
917,1793853.192,300637.773,-1.769,4,4,ROCK TOP
918,1793855.173,300638.235,-1.489,4,4,ROCK TOP
919,1793858.184,300640.744,-1.756,4,4,ROCK TOP
920,1793861.616,300641.783,-1.684,4,4,ROCK TOP
921,1793865.23,300643.306,-1.356,4,4,ROCK TOP
922,1793868.932,300643.896,-2.148,4,4,GS
923,1793801.296,300733.76,-2.896,1,5,GS
924,1793799.451,300732.664,-1.752,1,5,ROCK TOP
925,1793797.264,300731.122,-1.681,1,5,ROCK TOP
926,1793794.858,300730.81,-1.736,1,5,ROCK TOP
927,1793791.84,300729.294,-1.358,1,5,ROCK TOP
928,1793788.671,300728.455,-1.791,1,5,ROCK TOP
929,1793785.235,300727.713,-1.557,1,5,ROCK TOP
930,1793780.833,300726.105,-1.654,1,5,ROCK TOP
931,1793777.094,300726.272,-1.862,1,5,ROCK TOP
932,1793774.548,300725.05,-1.814,1,5,ROCK TOP
933,1793772.258,300723.887,-2.879,1,5,GS
934,1793751.264,300777.859,-2.663,2,5,GS
935,1793752.535,300777.713,-1.455,2,5,ROCK TOP
936,1793754.275,300778.904,-1.392,2,5,ROCK TOP
937,1793757.146,300780.313,-1.319,2,5,ROCK TOP
938,1793759.438,300781.746,-1.644,2,5,ROCK TOP
939,1793762.917,300782.968,-1.45,2,5,ROCK TOP
940,1793765.198,300784.422,-1.539,2,5,ROCK TOP
941,1793767.874,300785.527,-1.701,2,5,ROCK TOP
942,1793770.542,300785.885,-1.316,2,5,ROCK TOP
943,1793771.294,300786.974,-1.591,2,5,ROCK TOP
944,1793773.956,300790.62,-1.416,2,5,ROCK TOP
945,1793776.177,300791.13,-2.655,2,5,GS
946,1793769.685,300811.056,-2.417,3,5,GS
947,1793767.873,300810.493,-1.433,3,5,ROCK TOP
948,1793764.992,300809.546,-1.635,3,5,ROCK TOP
949,1793762.69,300808.066,-1.524,3,5,ROCK TOP
950,1793761.908,300806.249,-1.616,3,5,ROCK TOP
951,1793759.416,300806.126,-1.48,3,5,ROCK TOP
952,1793757.296,300805.438,-1.445,3,5,ROCK TOP
953,1793753.451,300803.473,-1.568,3,5,ROCK TOP
954,1793751.947,300804.789,-1.475,3,5,ROCK TOP
955,1793748.874,300804.566,-1.358,3,5,ROCK TOP
956,1793744.62,300803.396,-1.327,3,5,ROCK TOP
957,1793742.707,300801.806,-1.709,3,5,ROCK TOP
958,1793741.081,300802.27,-2.312,3,5,GS
959,1793743.412,300794.093,-2.534,3,5,GS
960,1793744.355,300794.748,-1.473,3,5,ROCK TOP
961,1793746.647,300795.447,-1.607,3,5,ROCK TOP
962,1793749.144,300796.27,-1.471,3,5,ROCK TOP
963,1793716.562,300861.063,-2.455,4,5,GS
964,1793719.841,300861.224,-1.654,4,5,ROCK TOP
965,1793721.925,300861.845,-1.38,4,5,ROCK TOP
966,1793725.204,300863.92,-1.419,4,5,ROCK TOP
967,1793728.786,300864.914,-1.834,4,5,ROCK TOP
968,1793731.536,300866.026,-1.579,4,5,ROCK TOP
969,1793734.039,300868.276,-1.337,4,5,ROCK TOP
970,1793736.938,300869.537,-1.286,4,5,ROCK TOP
971,1793738.978,300870.859,-1.302,4,5,ROCK TOP
972,1793741.048,300872.412,-1.197,4,5,ROCK TOP
973,1793743.408,300873.558,-2.531,4,5,GS
974,1793728.354,300871.205,-2.604,4,5,GS
975,1793686.007,300905.967,-2.946,1,6,GS
976,1793684.109,300905.325,-1.635,1,6,ROCK TOP
977,1793680.684,300903.004,-1.795,1,6,ROCK TOP
978,1793678.15,300900.771,-1.817,1,6,ROCK TOP
979,1793675.541,300899.179,-1.888,1,6,ROCK TOP
980,1793673.555,300900.76,-1.651,1,6,ROCK TOP
981,1793671.835,300898.514,-1.673,1,6,ROCK TOP
982,1793669.23,300894.766,-1.657,1,6,ROCK TOP
983,1793666.66,300892.358,-1.879,1,6,ROCK TOP
984,1793663.513,300889.846,-2.808,1,6,GS
985,1793661.782,300886.724,-2.617,1,6,GS
986,1793644.253,300906.209,-2.474,2,6,GS
987,1793644.413,300909.495,-1.666,2,6,ROCK TOP
988,1793645.264,300910.709,-1.698,2,6,ROCK TOP
989,1793647.282,300912.471,-1.778,2,6,ROCK TOP
990,1793647.819,300914.697,-1.426,2,6,ROCK TOP
991,1793648.959,300916.527,-1.655,2,6,ROCK TOP
992,1793649.923,300917.576,-1.468,2,6,ROCK TOP
993,1793651.736,300919.346,-1.513,2,6,ROCK TOP
994,1793654.174,300921.202,-1.316,2,6,ROCK TOP
995,1793654.447,300923.157,-1.333,2,6,ROCK TOP
996,1793657.467,300923.3,-1.506,2,6,ROCK TOP
997,1793659.575,300924.186,-1.858,2,6,ROCK TOP
998,1793661.808,300924.683,-1.644,2,6,ROCK TOP
999,1793663.475,300926.928,-2.489,2,6,GS
1000,1793644.077,300949.726,-2.649,3,6,GS
1001,1793642.355,300946.737,-1.777,3,6,ROCK TOP
1002,1793640.991,300945.598,-1.419,3,6,ROCK TOP
1003,1793638.811,300945.088,-1.68,3,6,ROCK TOP
1004,1793637.73,300942.743,-1.234,3,6,ROCK TOP
1005,1793635.146,300942.043,-1.421,3,6,ROCK TOP
1006,1793633.763,300940.173,-1.686,3,6,ROCK TOP
1007,1793631.881,300938.698,-1.715,3,6,ROCK TOP
1008,1793631.119,300937.404,-1.813,3,6,ROCK TOP
1009,1793627.925,300935.125,-1.76,3,6,ROCK TOP
1010,1793625.602,300932.677,-1.894,3,6,ROCK TOP
1011,1793623.637,300930.915,-1.881,3,6,ROCK TOP
1012,1793620.881,300929.849,-2.706,3,6,GS
