Date,Trip,Month,Start time,End time,Locality,Site,Bar,Station,StartGPS_E,StartGPS_N,MidGPS_E,MidGPS_N,EndGPS_E,EndGPS_N,Orientation,Counter,TransLngth,Cnt_Obsv1,Cnt_Obsv2,Cnt
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,17.5,161, ,161
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,20,90, ,90
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,21.8,7, ,7
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,2.5,12, ,12
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,5,258, ,258
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,7.5,154, ,154
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,10,269, ,269
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,12.5,276, ,276
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,15,222, ,222
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,17.5,72, ,72
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,20,228, ,228
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,22.5,420, ,420
8/8/2010,3,August,17:30,18:30,CK,I,1,CKI1, , , , , , , ,ZACH,25,116, ,116
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,2.5,0, ,0
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,5,1, ,1
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,7.5,4, ,4
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,10,3, ,3
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,12.5,192, ,192
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,15,131, ,131
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,17.5,54, ,54
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,20,110, ,110
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,22.5,128, ,128
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,25,23, ,23
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,27.5,36, ,36
8/8/2010,3,August,16:30,17:30,CK,I,2,CKI2, , , , , , , ,ZACH,29,0, ,0
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,2.5,89, ,89
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,5,108, ,108
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,7.5,8, ,8
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,10,17, ,17
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,12.5,15, ,15
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,15,113, ,113
5/27/2010,1,May,17:15,17:40,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,JANESSY,15.3,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,2.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,7.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,10,4, ,4
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,12.5,1, ,1
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,15,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,17.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,20,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,22.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,25,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,27.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,30,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,32.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,35,39, ,39
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,37.5,0, ,0
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,40,19, ,19
5/27/2010,1,May,19:11,19:27,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,GERALD,41,20, ,20
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,2.5,71, ,71
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,5,62, ,62
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,7.5,25, ,25
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,10,196, ,196
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,12.5,238, ,238
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,15,210, ,210
5/27/2010,1,May,18:27, ,CK,N,3,CKN3,299555,3227068,299560,3227078,299563,3227081,27,GERALD,16.5,138, ,138
7/9/2010,2,July, , ,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,LAURA,2.5,141, ,141
7/9/2010,2,July, , ,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,LAURA,5,152, ,152
7/9/2010,2,July, , ,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,LAURA,7.5,20, ,20
7/9/2010,2,July, , ,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,LAURA,10,34, ,34
7/9/2010,2,July, , ,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,LAURA,12.5,27, ,27
7/9/2010,2,July, , ,CK,N,1,CKN1,299767,3227182,299770,3227177,299773,3227169,335,LAURA,15,62, ,62
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,2.5,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,5,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,7.5,1,1,2
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,10,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,12.5,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,15,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,17.5,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,20,2,2,4
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,22.5,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,25,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,27.5,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,30,0,0,0
7/9/2010,2,July, , ,CK,N,2,CKN2,299777,3226660,299796,3226668,299812,3226676,70,JERRY/LAURA,32.5,3,3,6
